hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
-1,1.39,1.761,1.567,1.747,-0.47,-0.29,0.6,-0.271,0.631
2,2.13,0.856,2.163,0.671,1.54,1.33,-0.79,1.356,-1.082
0,1.352,1.351,1.345,1.204,0.47,-0.02,0.21,-0.181,-0.306
0.5,2.517,2.032,2.243,2.034,0.59,1.76,1.23,1.496,1.469
0.25,1.447,1.385,1.475,1.085,0.82,0.09,0.1,0.209,-0.565
-1.25,0.899,1.5,1.238,1.543,0.55,-0.69,0.64,-0.072,0.448
0.75,0.642,0.773,1.022,0.63,0.41,-0.67,-0.89,-0.151,-0.882
0.5,1.113,1.428,1.349,0.581,0.54,-0.59,-0.01,-0.026,-0.75
0.5,1.27,1.362,1.913,1.052,0.78,-0.33,-0.41,0.403,-0.177
0.75,1.263,1.096,1.698,0.975,0.8,0.13,-0.35,0.815,-0.781
1.75,1.895,1.055,2.14,0.753,1.35,1.15,-0.08,1.326,-0.228
2,1.866,0.911,2.32,0.972,2.66,0.83,-1.16,1.17,-0.878
-0.75,1.037,2.147,2.001,1.737,-0.8,-0.67,1.35,0.58,0.337
2,1.871,0.965,2.291,0.697,2.37,0.97,-0.59,1.294,-1.061
-0.25,1.034,1.419,1.208,1.12,-2.38,-0.1,0.37,0.154,-0.42
0.5,1.358,0.589,1.258,0.795,-2.42,0.07,-0.89,-0.218,-0.667
0.5,1.475,1.479,1.536,0.905,0.25,-0.28,0.07,-0.474,-0.489
1.75,2.164,1.272,2.18,0.858,1.87,1.43,-0.44,1.45,-0.982
-0.5,0.898,1.204,1.205,1.057,-0.68,-0.63,-0.44,-0.167,-0.241
0.25,1.349,2.037,1.773,1.345,1.98,0.43,1.22,1.052,0.362
-1.25,1.399,2.527,1.949,1.733,-1.7,-0.03,1.77,0.765,0.486
0,0.892,0.886,1.226,0.623,-2.08,-1.17,-0.9,-0.51,-1.216
-1,1.042,2.009,1.286,1.853,-1.61,-0.52,0.91,-0.211,0.859
0.25,0.577,1.157,1.001,0.677,0.78,-0.9,-0.01,-0.349,-0.323
2,2.392,1.055,2.378,0.953,1.21,1.51,-0.94,1.639,-0.88
0.5,1.469,0.901,1.594,0.835,-0.48,0.07,-0.67,0.265,-0.986
1.25,1.45,0.88,1.748,0.798,0.65,0.4,-0.78,0.915,-0.584
0.25,0.946,1.282,1.334,0.549,-0.35,-0.66,-0.04,0.029,-0.795
0,1.206,1.385,1.406,1.091,0.68,-0.55,-0.31,0.003,-0.094
1.5,1.895,1.471,2.265,1.063,0.76,1.1,0.13,1.372,-0.582
-0.75,0.783,1.382,1.811,1.512,-0.69,-1.01,0.34,0.34,0.367
0.5,1.833,2.163,2.291,1.984,-0.4,0.98,1.16,1.261,0.796
-0.5,1.283,1.498,1.57,1.516,0.52,-0.1,0.03,-0.101,0.174
1.75,2.476,0.843,2.346,0.779,0.59,1.49,-0.72,1.582,-1.026
-0.25,1.122,1.213,1.398,0.953,-0.98,-0.58,-0.23,0.003,-0.163
0.5,1.58,0.746,1.702,0.739,0.8,0.13,-0.74,0.32,-0.714
0.5,1.401,1.094,1.293,0.664,0.22,-0.11,-0.07,-0.194,-0.357
0.5,0.792,0.866,1.835,0.623,0.86,-0.92,-0.68,0.293,-1.18
0.5,1.034,1.277,1.342,0.538,2.03,-1,-0.04,-0.38,-0.799
0.25,1.314,1.849,1.878,1.94,0.15,0.21,0.76,1.151,1.057
0.75,2.038,1.562,2.4,1.061,1.92,1.37,0.51,1.626,-0.476
-1.5,0.862,2.02,1.141,1.73,-3,-0.84,1,-0.405,0.567
-1,1.297,2.524,1.445,1.748,-0.21,-0.35,1.64,-0.545,0.482
1.75,2.108,1.433,2.341,1.042,1.06,1.1,-0.07,1.255,-0.691
0,0.766,1.175,1.261,1.097,-1.08,-0.91,-0.43,-0.263,-0.092
0.75,1.49,1.508,1.894,0.948,1.31,0.44,0,1.097,-0.415
0.25,0.849,1.194,1.347,0.813,1.1,-0.67,-0.88,0.029,-1.023
1.75,1.348,1.13,2.021,0.467,0.99,0.25,-0.14,1.345,-0.864
1,1.483,1.305,2.039,0.582,2.31,0.08,-0.17,0.988,-1.073
0.5,0.633,0.53,1.052,0.553,1.15,-0.8,-1.18,-0.198,-0.965
-0.75,1.395,2.152,1.252,1.372,-0.42,-0.2,1.49,-0.063,0.302
1.75,2.389,1.003,2.581,0.56,2.3,1.35,-0.69,1.964,-1.343
0,1.285,1.709,1.442,1.936,-1.06,-0.19,0.44,-0.283,0.747
-0.75,1.478,1.716,1.548,1.861,-1.98,-0.14,0.52,0.153,0.916
1,1.641,0.972,1.996,0.611,1.21,0.65,-0.6,1.256,-1.256
0.5,0.912,1.059,1.162,0.745,1,-0.52,-0.63,-0.241,-1.115
0.25,0.845,1.108,1.078,0.398,-0.7,-0.92,-0.04,-0.517,-0.947
0.25,1.152,1.132,1.416,0.548,-0.73,-0.4,-0.57,-0.473,-1.147
-1,1.344,2.507,1.448,1.893,-0.62,-0.15,1.4,-0.029,0.573
0.25,0.891,1.13,1.295,0.797,1.78,-0.83,-0.93,-0.278,-1.023
-1,0.892,2.136,1.159,1.734,-1.7,-0.36,1.15,-0.003,0.397
1,2.158,1.273,2.468,1.115,1.6,1.45,-0.23,1.822,-0.019
0.5,2.015,1.405,2.302,1.482,-1.44,1.02,0.24,1.23,0.32
1,1.437,1.668,2.041,0.919,2.03,0.28,0.8,1.298,-0.607
0.5,1.29,1.197,2.056,0.96,0.43,-0.24,-0.29,0.509,-0.757
1.5,2.153,1.629,2.347,0.888,0.65,1.17,0.15,1.544,-0.587
-1,1.146,2.139,1.891,1.255,-0.76,0,1.38,0.686,0.305
0.5,0.917,0.888,1.37,0.742,-0.06,-0.71,-0.78,-0.017,-0.692
0,0.921,1.088,1.44,1.035,-1.4,-0.83,-0.45,0.048,-0.15
1.75,2.517,1.074,2.566,0.865,1.1,1.39,-0.41,1.861,-0.579
0.75,1.248,1.053,1.755,0.703,1.93,-0.16,-0.61,0.154,-1.086
0.5,1.107,0.874,1.495,0.65,0.68,-0.95,-0.43,-0.272,-0.45
0,1.561,2.035,2.12,1.613,1.23,0.23,1.08,0.99,0.437
0,1.079,1.536,1.523,0.891,-0.01,-0.44,0.1,0.083,-0.576
0,1.123,1.133,1.793,0.901,-0.65,-0.04,-0.4,0.532,-0.862
1,1.324,0.75,2.155,0.687,1.23,-0.19,-0.86,0.62,-0.739
1,2.05,1.635,2.215,0.901,1.39,1.11,0.87,1.369,-0.675
1.5,1.434,1.067,2.138,0.974,1.62,0.07,-0.47,1.011,-0.207
-0.75,1.145,2.276,1.405,1.411,-2.32,-0.85,1.51,-0.307,0.459
0.75,1.235,1.233,1.739,1.028,-0.03,-0.16,-0.3,0.151,-0.427
0.25,1.083,0.877,1.532,0.698,-0.08,-0.71,-0.42,0.027,-0.401
0.25,2.346,1.934,2.475,1.588,0.35,1.26,0.97,1.763,0.428
1.75,1.549,1.092,2.06,0.749,1.87,0.39,-0.56,1.232,-0.944
1.75,2.291,1.118,2.599,0.73,3,1.48,-0.35,1.898,-0.992
-0.75,1.11,1.458,1.379,1.472,-1.1,-0.42,0.26,-0.089,0.314
0.25,0.739,1.161,1.076,0.43,0.49,-0.57,-0.02,-0.143,-0.928
0,1.385,1.27,1.577,1.092,0.4,-0.18,-0.08,0.23,-0.039
2,1.775,1.202,2.276,0.538,2.66,0.85,-0.57,1.205,-1.532
0.5,1.005,1.082,1.267,0.741,1.26,-0.64,-0.95,-0.564,-1.122
-1,1.01,2.359,1.33,1.996,-0.59,-0.59,1.22,-0.192,0.622
-1.25,0.614,1.948,1.117,1.759,-0.43,-1.09,1.01,-0.426,0.469
0.75,1.622,1.478,2.137,0.717,-0.73,0.85,-0.03,1.504,-1.024
-0.75,1.208,1.465,1.199,1.704,-2.28,-0.38,0.17,-0.216,0.697
1.75,2.305,0.99,2.607,0.673,2.18,1.65,-0.62,2.06,-0.965
0.25,1.096,0.94,1.633,0.726,-0.58,-0.54,-1.03,0.202,-1.04
-0.25,0.602,1.165,1.054,0.834,-1.7,-1.16,-0.47,-0.598,-0.504
1.25,1.77,1.197,2.154,0.421,0.5,0.99,0.03,1.554,-0.929
0.5,0.967,1.178,1.351,0.407,1.31,-0.51,-0.56,0.013,-1.702
0.25,1.244,1.381,1.315,0.532,-0.52,-0.31,-0.14,-0.032,-1.218
